ProjectID,Month,BudgetAmount,ActualSpend,InvoicedAmount,Currency
P01,2025-01-01,17617,18351,18654,USD
P01,2025-02-01,17296,19185,19300,USD
P01,2025-03-01,18497,20771,21034,USD
P01,2025-04-01,19078,18336,18683,USD
P01,2025-05-01,17352,18404,17192,USD
P01,2025-06-01,17286,16757,16886,USD
P01,2025-07-01,19257,20234,20492,USD
P01,2025-08-01,19316,17830,17416,USD
P01,2025-09-01,19387,17393,15530,USD
P01,2025-10-01,19398,20147,20444,USD
P01,2025-11-01,17905,15786,14006,USD
P01,2025-12-01,17545,17417,16201,USD
P02,2025-02-01,13214,11678,9840,USD
P02,2025-03-01,12263,14352,14112,USD
P02,2025-04-01,11422,13686,11847,USD
P02,2025-05-01,11769,12319,12420,USD
P02,2025-06-01,13243,16576,16819,USD
P02,2025-07-01,13311,11299,10956,USD
P02,2025-08-01,13033,16106,14429,USD
P02,2025-09-01,12751,12824,11417,USD
P02,2025-10-01,13398,14610,13629,USD
P02,2025-11-01,12227,11762,11526,USD
P03,2025-03-01,14335,16540,15811,USD
P03,2025-04-01,16151,17706,16800,USD
P03,2025-05-01,15838,15696,13702,USD
P03,2025-06-01,14299,12766,11170,USD
P03,2025-07-01,15712,14563,13662,USD
P03,2025-08-01,14622,16127,14900,USD
P03,2025-09-01,14160,17134,17317,USD
P03,2025-10-01,16285,18479,17694,USD
P03,2025-11-01,15393,18588,17654,USD
P03,2025-12-01,16434,18002,16127,USD
P03,2026-01-01,15868,13931,14048,USD
P03,2026-02-01,15105,16488,16722,USD
P04,2024-10-01,9268,12069,10202,USD
P04,2024-11-01,9825,9656,8576,USD
P04,2024-12-01,9421,7105,5714,USD
P04,2025-01-01,9455,8331,8352,USD
P04,2025-02-01,10022,8004,7611,USD
P04,2025-03-01,9177,7736,7222,USD
P04,2025-04-01,9629,10331,8798,USD
P04,2025-05-01,8330,7192,5853,USD
P04,2025-06-01,9645,11646,11008,USD
P05,2025-05-01,12763,14770,14130,USD
P05,2025-06-01,12701,13140,12082,USD
P05,2025-07-01,11945,10681,10842,USD
P05,2025-08-01,11721,10460,10010,USD
P05,2025-09-01,11955,9553,8067,USD
P05,2025-10-01,13413,12406,11830,USD
P05,2025-11-01,12154,9687,9591,USD
P05,2025-12-01,12716,14595,13583,USD
P05,2026-01-01,13497,15636,14831,USD
P05,2026-02-01,11514,14670,13059,USD
P05,2026-03-01,11221,12461,10671,USD
P05,2026-04-01,12607,13367,12233,USD
