DeliverableID,ProjectID,DeliverableName,DueDate,Status,CompletionDate
D001,P01,Deliverable 1,2025-05-03,On Track,
D002,P01,Deliverable 2,2025-10-06,Completed,2025-09-28
D003,P01,Deliverable 3,2025-06-05,Completed,2025-05-30
D004,P01,Deliverable 4,2025-08-13,Completed,2025-08-15
D005,P01,Deliverable 5,2025-02-01,At Risk,
D006,P01,Deliverable 6,2025-06-25,On Track,
D007,P01,Deliverable 7,2025-03-05,On Track,
D008,P01,Deliverable 8,2025-08-08,At Risk,
D009,P01,Deliverable 9,2025-10-01,On Track,
D010,P01,Deliverable 10,2025-06-15,On Track,
D011,P02,Deliverable 11,2025-11-10,Delayed,
D012,P02,Deliverable 12,2025-11-06,On Track,
D013,P02,Deliverable 13,2025-11-16,Completed,2025-11-27
D014,P02,Deliverable 14,2025-12-17,On Track,
D015,P02,Deliverable 15,2025-04-05,Completed,2025-03-27
D016,P02,Deliverable 16,2025-04-30,At Risk,
D017,P03,Deliverable 17,2025-09-29,Delayed,
D018,P03,Deliverable 18,2025-12-31,Completed,2026-01-10
D019,P03,Deliverable 19,2025-03-30,On Track,
D020,P03,Deliverable 20,2025-11-26,At Risk,
D021,P03,Deliverable 21,2025-03-22,Delayed,
D022,P03,Deliverable 22,2025-04-25,Completed,2025-05-06
D023,P04,Deliverable 23,2024-11-23,Delayed,
D024,P04,Deliverable 24,2025-02-27,Completed,2025-02-25
D025,P04,Deliverable 25,2025-02-18,On Track,
D026,P04,Deliverable 26,2025-02-16,Delayed,
D027,P04,Deliverable 27,2025-06-30,Delayed,
D028,P04,Deliverable 28,2024-11-29,Delayed,
D029,P04,Deliverable 29,2025-03-17,Completed,2025-03-26
D030,P04,Deliverable 30,2025-01-30,Completed,2025-02-08
D031,P04,Deliverable 31,2025-01-04,At Risk,
D032,P04,Deliverable 32,2025-02-28,At Risk,
D033,P05,Deliverable 33,2026-03-07,On Track,
D034,P05,Deliverable 34,2025-05-27,Delayed,
D035,P05,Deliverable 35,2025-06-21,Delayed,
D036,P05,Deliverable 36,2025-10-05,Completed,2025-10-17
D037,P05,Deliverable 37,2025-09-09,Delayed,
D038,P05,Deliverable 38,2025-10-16,At Risk,
D039,P05,Deliverable 39,2026-01-13,Delayed,
D040,P05,Deliverable 40,2026-01-14,Completed,2026-01-21
D041,P05,Deliverable 41,2025-08-31,At Risk,
D042,P05,Deliverable 42,2025-07-03,Delayed,
